#Release 14.3 - par P.40xd (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Fri Aug 02 12:13:10 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       HMC_src_map.ncd
#OUTPUT FILE:      HMC_src_pad.csv
#PART TYPE:        xc3s50a
#SPEED GRADE:      -5
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P88,T0,IBUF,IO_L04P_0/GCLK8,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P89,WG_SW_CTRL_TERM,IOB,IO_L04N_0/GCLK9,OUTPUT,LVTTL,0,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P90,OPS_MODE_730<2>,IBUF,IO_0/GCLK11,INPUT,LVTTL,0,,,,IFD,,LOCATED,YES,NONE,
P91,,,GND,,,,,,,,,,,,
P92,,,VCCAUX,,,,,,,,3.3,,,,
P93,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
P94,SPARE1,IOB,IO_L05N_0,OUTPUT,LVTTL,0,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P95,,,GND,,,,,,,,,,,,
P96,,,VCCO_0,,,0,,,,,3.30,,,,
P97,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
P98,SPARE3,IOB,IO_L06P_0/VREF_0,OUTPUT,LVTTL,0,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,HV_ON_730,IBUF,IO_L06N_0/PUDC_B,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P100,,,PROG_B,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
